Insurer,Link,1st Time Stamp,,2nd Time Stamp,,3rd Time Stamp,,4th Time Stamp,,5th Time Stamp,,6th Time Stamp,,7th Time Stamp,,8th Time Stamp,,9th Time Stamp,,FRT (First Response Time) (in Hrs),"FRT less than 1 day
(10)","FRT >1 Day <3 days
(5)","FRT more than 3 days
(-10)",Points,Marks,Score Methodology
,,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,,,,,,,
HDFC ERGO General Insurance Company Limited,https://x.com/kanavsud2005/status/2049359404508807341,29/04/2026 05:25,29/04/2026 05:36,NA,29/04/2026 07:36,NA,29/04/2026 09:36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1747,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/nikhiljondy/status/2049396563789987926,29/04/2026 07:53,29/04/2026 08:31,30/04/2026 12:48,29/04/2026 10:31,30/04/2026 12:50,29/04/2026 12:31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6408,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/SarveshSauravt/status/2044750228168044712,16/04/2026 12:10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/Ankitdugar30/status/2048649008512741715,27/04/2026 06:22,27/04/2026 06:26,27/04/2026 07:41,27/04/2026 07:57,27/04/2026 08:53,27/04/2026 09:57,27/04/2026 11:40,27/04/2026 11:43,28/04/2026 06:17,28/04/2026 06:59,28/04/2026 13:31,29/04/2026 18:25,29/04/2026 04:04,NA,30/04/2026 05:27,NA,NA,NA,0.0692,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/King031995/status/2048301037434585484,26/04/2026 07:19,26/04/2026 07:23,NA,30/04/2026 05:42,NA,04/05/2026 16:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0558,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/VajapeyamSriva1/status/2039966566377497087,03/04/2026 07:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/ClaimM43992/status/2044371578667069879,15/04/2026 11:05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/BoringGuy3246/status/2042952758102569402,11/04/2026 13:07,NA,11/04/2026 15:50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/py12580/status/2044279113792532712,15/04/2026 04:58,15/04/2026 05:29,15/04/2026 05:29,18/04/2026 03:33,15/04/2026 08:01,NA,18/04/2026 05:12,NA,18/04/2026 06:40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5275,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/Tweetysen1901/status/2044107097923825851,14/04/2026 17:34,14/04/2026 17:39,NA,14/04/2026 19:39,NA,15/04/2026 04:06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0756,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/manuscrypts/status/2047331479202697481,23/04/2026 15:07,23/04/2026 17:42,24/04/2026 01:03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5922,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/amithpallavoor1/status/2041441018424553889,07/04/2026 09:00,07/04/2026 09:38,07/04/2026 09:11,NA,07/04/2026 09:13,NA,07/04/2026 09:18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6356,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/Sidd_Pati/status/2049018482847781196,28/04/2026 06:50,28/04/2026 06:56,28/04/2026 07:19,28/04/2026 10:35,28/04/2026 11:06,28/04/2026 11:10,28/04/2026 16:45,30/04/2026 17:42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0981,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/NarsingiSa85534/status/2044768431011209385,16/04/2026 13:22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/Aadarsh77517771/status/2040410023130734856,04/04/2026 12:43,04/04/2026 12:47,NA,06/04/2026 11:56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0625,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/santosh_bisht/status/2042811937965379652,11/04/2026 03:48,12/04/2026 03:20,13/04/2026 06:28,13/04/2026 17:18,14/04/2026 03:33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.53,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/INDIASUPERF/status/2049436346142675388,29/04/2026 10:31,29/04/2026 10:39,NA,04/05/2026 16:10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1308,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/MahendraVyhjo1/status/2048420406676406392,26/04/2026 15:14,26/04/2026 15:28,26/04/2026 15:15,26/04/2026 17:28,26/04/2026 15:16,26/04/2026 19:28,27/04/2026 02:32,27/04/2026 02:37,27/04/2026 02:59,30/04/2026 17:44,NA,NA,NA,NA,NA,NA,NA,NA,0.235,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/SKJAHANGIRKSP/status/2043938394766741588,14/04/2026 06:24,14/04/2026 06:27,NA,16/04/2026 17:41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0564,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
