Insurer,Link,1st Time Stamp,,2nd Time Stamp,,3rd Time Stamp,,4th Time Stamp,,5th Time Stamp,,6th Time Stamp,,7th Time Stamp,,8th Time Stamp,,9th Time Stamp,,FRT (First Response Time) (in Hrs),"FRT less than 1 day
(10)","FRT >1 Day <3 days
(5)","FRT more than 3 days
(-10)",Points,Marks,Score Methodology
,,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,Customer,Insurer,,,,,,,
HDFC ERGO General Insurance Company Limited,https://x.com/Anirban729/status/2046872982325493867,22/04/2026 08:45,22/04/2026 10:39,NA,22/04/2026 17:54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/RjayDogra/status/2046160269076824484,20/04/2026 09:33,20/04/2026 10:36,NA,20/04/2026 12:36,NA,20/04/2026 14:36,NA,22/04/2026 17:59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0472,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/avashesh_shukla/status/2048814592097386658,27/04/2026 17:20,30/04/2026 03:34,08/05/2026 07:39,05/05/2026 02:43,NA,08/05/2026 07:34,NA,10/05/2026 11:40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.2353,FALSE,TRUE,FALSE,5,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/shikhar456/status/2047696162279592153,24/04/2026 15:16,24/04/2026 15:19,NA,24/04/2026 17:19,NA,24/04/2026 19:19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0467,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/NarsingiSa85534/status/2044771477317468376,16/04/2026 13:34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/DevadkarGanesh/status/2042325773525402025,09/04/2026 19:36,10/04/2026 02:32,10/04/2026 04:11,15/04/2026 12:55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9308,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/nidhi_puri/status/2044824198170976360,16/04/2026 17:04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/himanshuca212/status/2047204974233600433,23/04/2026 06:44,23/04/2026 07:58,23/04/2026 06:47,23/04/2026 09:58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2256,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/manasasayshi/status/2041113967389790651,06/04/2026 11:21,06/04/2026 11:23,06/04/2026 12:10,07/04/2026 01:07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0372,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
HDFC ERGO General Insurance Company Limited,https://x.com/33874/status/2040051055443288122,03/04/2026 12:57,03/04/2026 13:04,NA,10/04/2026 10:13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1253,TRUE,FALSE,FALSE,10,,"FRT < 1 day : 10
FRT = 1 to 3 days : 5
FRT > 3 days : -10"
